OutputArea,EventCount
E00114411,1
E00115395,1
E00116197,1
E00116991,1
E00117437,1
E00117681,1
E00117738,2
E00117880,1
E00118141,1
E00118146,1
E00118153,1
E00118208,1
E00119258,1
E00119376,1
E00120360,2
E00120776,1
E00121309,1
E00121349,1
E00123065,1
E00124406,1
E00125561,1
E00126262,1
E00127400,1
E00128485,2
E00128497,1
E00129965,1
E00130356,1
E00130493,1
E00132306,1
E00132739,1
E00133027,1
E00133649,1
E00134110,1
E00134556,5
E00135033,1
E00136566,1
E00138861,2
E00139315,1
E00139876,1
E00141590,1
E00142062,1
E00143097,1
E00145096,1
E00145301,2
E00145303,11
E00145308,1
E00145313,2
E00145316,3
E00145318,1
E00145366,1
E00145367,1
E00145372,2
E00145454,2
E00145456,1
E00145522,1
E00145557,1
E00145610,1
E00145792,3
E00145917,1
E00145976,1
E00145977,1
E00146320,3
E00146332,1
E00146335,1
E00146339,1
E00146663,1
E00146742,2
E00149245,1
E00151380,1
E00152254,1
E00152829,1
E00153642,2
E00153951,2
E00154367,1
E00154583,1
E00155334,2
E00155349,1
E00155718,1
E00155843,1
E00155850,1
E00156423,2
E00156425,1
E00157863,1
E00158822,5
E00159896,1
E00160563,1
E00160903,1
E00161044,1
E00161059,1
E00161718,1
E00161744,1
E00162962,2
E00163007,1
E00163844,1
E00164063,1
E00164821,1
E00165171,1
E00165247,1
E00165814,1
E00166205,2
E00166308,2
E00166375,1
E00166632,1
E00166755,16
E00166757,6
E00166759,1
E00166822,1
E00166975,1
E00166986,6
E00166989,1
E00167006,3
E00167059,2
E00167062,4
E00167063,5
E00167064,11
E00167073,3
E00167075,2
E00167076,1
E00167078,3
E00167122,4
E00167177,1
E00167179,4
E00167245,1
E00167323,3
E00167356,2
E00167359,1
E00167370,3
E00167374,3
E00167487,1
E00167557,2
E00167679,1
E00167758,2
E00167768,1
E00167779,1
E00167780,1
E00167786,1
E00168093,1
E00168195,1
E00168257,1
E00168647,2
E00168817,3
E00168922,1
E00169156,1
E00169572,1
E00169583,2
E00169623,1
E00169746,1
E00169782,2
E00169783,1
E00169785,8
E00169786,1
E00169788,10
E00169796,1
E00169797,3
E00169803,1
E00169811,9
E00170055,2
E00170123,21
E00170124,15
E00170132,1
E00170143,1
E00170168,4
E00170254,18
E00170261,4
E00170262,1
E00170264,2
E00170265,1
E00170268,1
E00170326,1
E00170433,1
E00170749,4
E00170850,1
E00170876,1
E00170980,2
E00171185,1
E00171231,1
E00171265,1
E00171533,10
E00171535,3
E00171544,2
E00171705,1
